time_s,simulated_Er_J_m3,analytic_Er_J_m3,simulated_Te_eV,analytic_Te_eV,simulated_Tr_eV,analytic_Tr_eV
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000121e-13,1.511813383754771530e+04,1.529975250087982204e+04,9.937093353642689308e+00,9.936337637285834745e+00,5.761488231398728566e+00,5.778714440931221219e+00
8.000000000000000243e-13,2.819929989999550162e+04,2.851066278464369316e+04,9.882662542520492366e+00,9.881366959673837158e+00,6.733172085589812284e+00,6.751681719234960966e+00
1.200000000000000137e-12,3.952219502476416528e+04,3.992299641192094714e+04,9.835547907406883894e+00,9.833880170410219890e+00,7.326058746900684149e+00,7.344562233083451019e+00
1.600000000000000049e-12,4.932630349201025092e+04,4.978537082852941239e+04,9.794752952763342790e+00,9.792842770798893426e+00,7.743365788378615555e+00,7.761319632888923792e+00
1.999999999999999960e-12,5.781769071668366087e+04,5.831107146628393093e+04,9.759420239151634036e+00,9.757367278867771887e+00,8.057036258812328100e+00,8.074169980404336755e+00
2.399999999999999871e-12,6.517387040134100243e+04,6.568332207467457920e+04,9.728811130981533495e+00,9.726691299486793341e+00,8.301919365231224646e+00,8.318095653303082315e+00
2.799999999999999782e-12,7.154791109264595434e+04,7.205970478237232601e+04,9.702288709104358588e+00,9.700159132465239864e+00,8.497856094833714735e+00,8.513012132201938087e+00
3.199999999999999693e-12,7.707191395209818438e+04,7.757588333663987578e+04,9.679303299787946457e+00,9.677206280130034699e+00,8.657333915948809633e+00,8.671451812573804929e+00
3.599999999999999604e-12,8.185996759239047242e+04,8.234875126623235701e+04,9.659380179624687202e+00,9.657346347800864095e+00,8.788768493141217775e+00,8.801858594566917660e+00
3.999999999999999920e-12,8.601066567225519975e+04,8.647910250601399457e+04,9.642109099804137884e+00,9.640159931304994601e+00,8.898119007428357818e+00,8.910209719297736086e+00
4.399999999999999831e-12,8.960925713460813859e+04,9.005390333055051451e+04,9.627135338959103450e+00,9.625285163447838244e+00,8.989765266568802815e+00,9.000896506009716802e+00
4.799999999999999742e-12,9.272948658402875299e+04,9.314822983519810077e+04,9.614152045343798747e+00,9.612409652142435590e+00,9.067020475895350984e+00,9.077239288725701627e+00
5.199999999999999653e-12,9.543517228191792674e+04,9.582692369087625411e+04,9.602893670786453839e+00,9.601263590803823078e+00,9.132448843610564637e+00,9.141806388533542105e+00
5.599999999999999564e-12,9.778156133653047436e+04,9.814600971954007400e+04,9.593130331735402194e+00,9.591613859808918008e+00,9.188071678722975477e+00,9.196621112026777567e+00
5.999999999999999475e-12,9.981649511567712761e+04,1.001539114621556946e+05,9.584662959969755036e+00,9.583258968510810050e+00,9.235506360738170883e+00,9.243301335797699636e+00
