time_s,simulated_Er_J_m3,analytic_Er_J_m3,simulated_Te_eV,analytic_Te_eV,simulated_Tr_eV,analytic_Tr_eV
7.999999999999999839e-12,1.068068922179962246e+05,1.068083418362696248e+05,9.555575875337616765e+00,9.555569843467212721e+00,9.393121766819369611e+00,9.393153638291735774e+00
8.399999999999999750e-12,1.076870374614265893e+05,1.076551001742158551e+05,9.551913585655139372e+00,9.552046476900432737e+00,9.412413325999830604e+00,9.411715376662554533e+00
8.799999999999999661e-12,1.084521133357782819e+05,1.083884562167746190e+05,9.548730100313527203e+00,9.548994977970805209e+00,9.429086882869215813e+00,9.427702952558821181e+00
9.199999999999999573e-12,1.091173379201016069e+05,1.090236119647188170e+05,9.545962096793790153e+00,9.546352091061145018e+00,9.443512798229154015e+00,9.441484276651372909e+00
9.599999999999999484e-12,1.096959099883211456e+05,1.095737278885806008e+05,9.543554654917773661e+00,9.544063055373953830e+00,9.456006051842219762e+00,9.453371866205117158e+00
9.999999999999999395e-12,1.101992779539303010e+05,1.100501980038957990e+05,9.541460137767680649e+00,9.542080460341654913e+00,9.466835265323751969e+00,9.463631905257056331e+00
1.039999999999999931e-11,1.106373727781357011e+05,1.104628876578459895e+05,9.539637222553844609e+00,9.540363256194941854e+00,9.476230070326458588e+00,9.472491641181106203e+00
1.079999999999999922e-11,1.110188097229970444e+05,1.108203391318420909e+05,9.538050061118719114e+00,9.538875898449191482e+00,9.484387170349815932e+00,9.480145467561424510e+00
1.119999999999999913e-11,1.113510631534972781e+05,1.111299494673545560e+05,9.536667552584393803e+00,9.537587607970094083e+00,9.491475360556947294e+00,9.486759959438055390e+00
1.159999999999999904e-11,1.116406180193841574e+05,1.113981242905921681e+05,9.535462713035736115e+00,9.536471730908241184e+00,9.497639708858484298e+00,9.492478065053289171e+00
1.199999999999999895e-11,1.118931011497257277e+05,1.116304109084433585e+05,9.534412129202953778e+00,9.535505184886110541e+00,9.503005056197631362e+00,9.497422613172687988e+00
1.239999999999999886e-11,1.121133950682573341e+05,1.118316134786034090e+05,9.533495484875246007e+00,9.534667979774472002e+00,9.507678960093647547e+00,9.501699260547910697e+00
1.279999999999999877e-11,1.123057366664293659e+05,1.120058926888235001e+05,9.532695150321652378e+00,9.533942802926420157e+00,9.511754179726116476e+00,9.505398978653641251e+00
1.319999999999999868e-11,1.124738027633471211e+05,1.121568520336463262e+05,9.531995826275640127e+00,9.533314660179362576e+00,9.515310781352960490e+00,9.508600158741117525e+00
1.359999999999999860e-11,1.126207842970664351e+05,1.122876125012327393e+05,9.531384235224647838e+00,9.532770565082680392e+00,9.518417927383554300e+00,9.511370399157364375e+00
1.399999999999999851e-11,1.127494506677027384e+05,1.124008772325080499e+05,9.530848853678046240e+00,9.532299269850632584e+00,9.521135400783686364e+00,9.513768026829534818e+00
1.439999999999999842e-11,1.128622055421397381e+05,1.124989875010752294e+05,9.530379679963385087e+00,9.531891032429593125e+00,9.523514906964608784e+00,9.515843395350321643e+00
1.479999999999999994e-11,1.129611352573507611e+05,1.125839711864087294e+05,9.529968032819903456e+00,9.531537414800800079e+00,9.525601187922813295e+00,9.517639994751624144e+00
1.519999999999999986e-11,1.130480508057223342e+05,1.126575847433782183e+05,9.529606376697321579e+00,9.531231108344913494e+00,9.527432977393409885e+00,9.519195401798929979e+00
1.559999999999999977e-11,1.131245242563325446e+05,1.127213495496507821e+05,9.529288170206694275e+00,9.530965782600260283e+00,9.529043821003552850e+00,9.520542095099202129e+00
1.599999999999999968e-11,1.131919203509947838e+05,1.127765833783941489e+05,9.529007734649082906e+00,9.530735954304713431e+00,9.530462781465111277e+00,9.521708155021864073e+00
1.639999999999999959e-11,1.132514239148928755e+05,1.128244276557495177e+05,9.528760139959727482e+00,9.530536873977199619e+00,9.531715045629162830e+00,9.522717865493937950e+00
1.679999999999999950e-11,1.133040636376557668e+05,1.128658710674921167e+05,9.528541105754859686e+00,9.530364427690217966e+00,9.532822447612687711e+00,9.523592231920327222e+00
1.719999999999999941e-11,1.133507327072340122e+05,1.129017700017885800e+05,9.528346915474013912e+00,9.530215052007436682e+00,9.533803920031001411e+00,9.524349427247646105e+00
1.759999999999999932e-11,1.133922067110907083e+05,1.129328662576984061e+05,9.528174341893064891e+00,9.530085660298475148e+00,9.534675883470313806e+00,9.525005176537256091e+00
1.799999999999999923e-11,1.134291591704643361e+05,1.129598023797891219e+05,9.528020582486062651e+00,9.529973578931500100e+00,9.535452582956395418e+00,9.525573088620705064e+00
1.839999999999999915e-11,1.134621750188347214e+05,1.129831349400992622e+05,9.527883203341257712e+00,9.529876492006897237e+00,9.536146378761683806e+00,9.526064942338416941e+00
1.879999999999999906e-11,1.134917622964757611e+05,1.130033460444357479e+05,9.527760090500001056e+00,9.529792393479482371e+00,9.536767997869461055e+00,9.526490933745042966e+00
1.919999999999999897e-11,1.135183623004863912e+05,1.130208532957499847e+05,9.527649407722392993e+00,9.529719545700851668e+00,9.537326751581341355e+00,9.526859889594506470e+00
1.959999999999999888e-11,1.135423583914567862e+05,1.130360184251291212e+05,9.527549559842697136e+00,9.529656443505761132e+00,9.537830723838471414e+00,9.527179451846711444e+00
1.999999999999999879e-11,1.135640836360409157e+05,1.130491547681993252e+05,9.527459160968552609e+00,9.529601783102776835e+00,9.538286934282487195e+00,9.527456237170818909e+00
